Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,59.11,1304
ex6_2_6,48.51,60318
ex6_2_8,24.88,31930
ex6_2_9,21.99,21620
ex6_2_12,5.87,7728
ex8_4_4bis,58.66,78334
hs093,336.62,401224
ex6_2_10,425.73,330090
ex14_2_7,46.10,14852
ex6_1_3bis,9.82,11170
ex8_5_1bis,5.12,3448
hs102,1664.21,898530
hs103,663.45,248224
dualc5,74.13,53436
dualc8,311.40,190728
ex2_1_9bis,86.31,74894
hs108,75.90,34604
mistake,839.76,379162
ex2_1_9,7.42,5116
odfits,35.05,17762
hs113,10.29,2886
chem,2019.47,901754
chem-1,1742.91,901754
chembis,736.59,484906
ex6_1_3,81.75,15182
sambal,2433.54,521884
himmel16,20.29,5382
ex2_1_7,9.44,2410
ex2_1_8,8.54,1620
launch,4.81,308
