Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,57.62,1330
ex6_2_6,48.58,60444
ex6_2_8,26.86,31866
ex6_2_9,18.40,21432
ex6_2_12,5.82,7728
ex8_4_4bis,55.24,76608
hs093,367.15,458404
ex6_2_10,424.00,330090
ex14_2_7,41.65,13986
ex6_1_3bis,10.01,11170
ex8_5_1bis,5.22,3580
hs102,1752.21,894110
hs103,669.78,270962
dualc5,79.06,53340
dualc8,297.00,190650
ex2_1_9bis,86.49,74772
hs108,80.00,38412
mistake,812.18,414612
ex2_1_9,7.78,5284
odfits,35.76,17730
hs113,11.01,3162
chem,1650.51,902650
chem-1,1418.01,902650
chembis,723.76,479506
ex6_1_3,73.20,14764
sambal,1985.39,521884
himmel16,15.95,4174
ex2_1_7,9.99,2590
ex2_1_8,9.16,1742
launch,4.44,248
