Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
sambal,2105.472,515910
chem,1795.486,905104
hs102,1774.15,890002
chem-1,1501.692,905104
mistake,808.934,390420
chembis,739.4159999999999,480774
hs103,692.904,261824
ex6_2_10,414.95,330089
hs093,346.07399999999996,420331
dualc8,302.304,189155
ex2_1_9bis,85.55,75318
ex6_1_3,82.718,15985
hs108,77.604,36356
dualc5,73.886,54014
hs088,58.403999999999996,1329
ex8_4_4bis,57.888,77113
ex6_2_6,49.952,60305
ex14_2_7,37.134,12189
odfits,35.546,17759
ex6_2_8,25.712,31831
ex6_2_9,20.66,21544
himmel16,18.157999999999998,4933
hs113,10.361999999999998,3167
ex6_1_3bis,9.994,11170
ex2_1_7,9.516,2449
ex2_1_8,8.648,1660
launch,8.42,830
ex2_1_9,7.734,5158
ex6_2_12,5.994,7728
ex8_5_1bis,5.596,3724
