Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,77.33,1244
ex6_2_6,50.23,60256
ex6_2_8,24.88,31770
ex6_2_9,20.94,21432
ex6_2_12,6.21,7818
ex8_4_4bis,59.26,79098
hs093,355.75,442528
ex6_2_10,449.74,330940
ex14_2_7,29.57,9290
ex6_1_3bis,10.90,11018
ex8_5_1bis,6.68,4084
hs102,2019.03,957632
hs103,979.78,257466
dualc5,69.37,55154
dualc8,291.05,185842
ex2_1_9bis,80.48,75260
hs108,96.41,42158
mistake,922.55,399808
ex2_1_9,6.30,5224
odfits,31.94,18536
hs113,9.55,3702
chem,1703.76,901806
chem-1,1916.48,901806
chembis,914.11,484934
ex6_1_3,78.26,17910
sambal,2023.50,515200
himmel16,21.33,4000
ex2_1_7,11.41,2296
ex2_1_8,12.07,1796
launch,7.40,358
