Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,86.05,1246
ex6_2_6,50.78,60436
ex6_2_8,24.92,31770
ex6_2_9,19.54,21432
ex6_2_12,6.11,7818
ex8_4_4bis,59.12,77790
hs093,371.87,446134
ex6_2_10,458.12,330940
ex14_2_7,46.15,7654
ex6_1_3bis,11.99,11018
ex8_5_1bis,5.66,3380
hs102,1942.11,895346
hs103,658.44,264750
dualc5,66.47,53034
dualc8,291.27,186006
ex2_1_9bis,79.50,74892
hs108,86.03,44424
mistake,1035.41,414164
ex2_1_9,6.38,5202
odfits,29.77,18796
hs113,11.09,4890
chem,1722.90,902108
chem-1,1965.70,902108
chembis,855.41,480176
ex6_1_3,78.86,14696
sambal,2085.84,529564
himmel16,10.37,2060
ex2_1_7,12.87,2592
ex2_1_8,11.34,1718
launch,27.23,4434
