Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,2002.4,929152
sambal,1954.17,502954
chem-1,1834.15,904233
chem,1675.8,904233
mistake,967.75,416977
chembis,827.33,480678
hs103,711.44,259812
ex6_2_10,455.4,330817
hs093,357.95,428312
dualc8,292.71,186808
hs108,104.06,43930
ex6_1_3,92.23,16352
hs088,83.12,1239
ex2_1_9bis,80.39,75232
dualc5,66.93,53427
ex8_4_4bis,59.17,78060
ex6_2_6,50.69,60138
ex14_2_7,39.24,10430
odfits,30.62,18574
launch,28.6,2744
ex6_2_8,24.84,31825
ex6_2_9,19.93,21432
himmel16,19.13,3794
ex2_1_7,12.31,2444
ex6_1_3bis,11.03,11018
ex2_1_8,10.84,1657
hs113,10.38,4543
ex2_1_9,6.35,5153
ex8_5_1bis,6.2,3836
ex6_2_12,6.12,7818
