Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,205.46,1218
ex6_2_6,111.32,59824
ex6_2_8,54.72,31728
ex6_2_9,44.53,21436
ex6_2_12,13.65,7830
ex8_4_4bis,147.72,79162
hs093,824.09,384518
ex6_2_10,872.20,330694
ex14_2_7,58.8,13258
ex6_1_3bis,15.3,11199
ex8_5_1bis,18.53,3760
hs102,5858.89,894210
hs103,1599.29,248196
dualc5,180.36,54140
dualc8,754.21,186894
ex2_1_9bis,197.20,74912
hs108,253.31,38226
mistake,2320.73,392760
ex2_1_9,18.37,5124
odfits,95.78,19040
hs113,33.96,3836
chem,4368.04,905110
chem-1,3089.91,905110
chembis,1260.85,484048
ex6_1_3,210.50,16826
sambal,5725.06,509140
himmel16,25.35,1778
ex2_1_7,39.32,2376
ex2_1_8,21.26,1524
launch,145.93,2676
