Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,354.14,1346
ex6_2_6,102.08,60016
ex6_2_8,50.08,31914
ex6_2_9,40.25,21452
ex6_2_12,12.83,7848
ex8_4_4bis,140.56,77992
hs093,1044.81,410646
ex6_2_10,886.99,331238
ex14_2_7,93.55,13516
ex6_1_3bis,23.52,11224
ex8_5_1bis,17.47,4420
hs102,3628.62,955600
hs103,1440.02,262786
dualc5,154.39,56962
dualc8,633.30,187254
ex2_1_9bis,370.46,138536
hs108,416.76,49636
mistake,2599.00,530084
ex2_1_9,46.54,12110
odfits,69.47,18594
hs113,30.33,5308
chem,3492.93,911960
chem-1,3509.98,911960
chembis,1211.26,486056
ex6_1_3,189.83,18980
sambal,4198.93,478894
himmel16,21.79,2016
ex2_1_7,60.99,6662
ex2_1_8,40.60,3374
launch,8.13,198
