Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,209.76,1352
ex6_2_6,86.51,60204
ex6_2_8,43.55,31974
ex6_2_9,32.33,21512
ex6_2_12,10.37,7816
ex8_4_4bis,113.08,77114
hs093,715.72,457936
ex6_2_10,644.63,330960
ex14_2_7,40.2,11974
ex6_1_3bis,11.48,11128
ex8_5_1bis,8.2,4448
hs102,2211.17,99616
hs103,1031.42,264016
dualc5,112.73,56418
dualc8,432.34,187592
ex2_1_9bis,151.7,148178
hs108,199.69,50152
mistake,1285.61,519764
ex2_1_9,9.67,6980
odfits,53.13,18404
hs113,23.17,5240
chem,2174.27,915348
chem-1,1697.3,915348
chembis,843.21,485592
ex6_1_3,92.87,16412
sambal,2450.61,481022
himmel16,22.22,2288
ex2_1_7,36.47,4296
ex2_1_8,18.82,1710
launch,39.65,2704
