Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,286.78,1290
ex6_2_6,85.85,59886
ex6_2_8,46.97,31974
ex6_2_9,34.53,21514
ex6_2_12,11.48,7800
ex8_4_4bis,109.97,77114
hs093,677.1,453124
ex6_2_10,651.68,330746
ex14_2_7,42.05,12510
ex6_1_3bis,11.26,11138
ex8_5_1bis,7.2,4122
hs102,2274.02,982408
hs103,1025.75,274426
dualc5,123.42,55868
dualc8,430.4,188890
ex2_1_9bis,133.19,125442
hs108,158.07,38410
mistake,1953.03,792814
ex2_1_9,17.87,10038
odfits,54.56,18446
hs113,23.47,5710
chem,2189.47,919766
chem-1,1694.06,919766
chembis,830.75,483448
ex6_1_3,93.7,15870
sambal,2507.24,491522
himmel16,19.74,2376
ex2_1_7,39.26,5198
ex2_1_8,16.17,1552
launch,7.32,198
