Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,3492.95,914149
sambal,3414.35,504022
chem,2967.06,905358
chem-1,2455.94,905358
mistake,1411.57,412870
hs103,1088.74,259415
chembis,1057.98,482703
ex6_2_10,816.64,330823
hs093,665.02,400792
dualc8,580.55,188028
hs088,464.96,1309
hs108,238.54,43458
ex2_1_9bis,166.85,75136
dualc5,122.98,53774
ex8_4_4bis,122.18,77980
ex6_1_3,115.32,16404
ex6_2_6,88.82,60111
ex14_2_7,80.37,11101
odfits,54.54,18168
ex6_2_8,43.05,31740
himmel16,36.96,5634
ex6_1_3bis,34.71,11250
ex6_2_9,34.44,21435
hs113,22.17,5278
ex8_5_1bis,21.29,4238
ex2_1_7,18.84,2414
ex2_1_8,16.9,1700
ex6_2_12,10.74,7757
ex2_1_9,8.5,5110
launch,4.96,142
