Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,492.81,1388
ex6_2_6,88.79,60294
ex6_2_8,42.17,31816
ex6_2_9,34.48,21558
ex6_2_12,10.6,7762
ex8_4_4bis,127.84,77932
hs093,697.22,456772
ex6_2_10,800.54,330888
ex14_2_7,83.35,10664
ex6_1_3bis,39.42,11214
ex8_5_1bis,14.39,3882
hs102,440.27,938858
hs103,1045.43,269542
dualc5,123.07,53296
dualc8,608.21,187572
ex2_1_9bis,166.62,74724
hs108,235.79,38440
mistake,1478.1,436056
ex2_1_9,13.06,5246
odfits,54.79,18064
hs113,24.04,5280
chem,2725.51,902374
chem-1,2043.01,902374
chembis,483702.0,483702
ex6_1_3,15548.0,15908
sambal,3740.17,536118
himmel16,28.58,4024
ex2_1_7,19.04,2504
ex2_1_8,16.64,1706
launch,28.13,2676
