Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,465.9,1338
ex6_2_6,88.28,60276
ex6_2_8,42.1,31628
ex6_2_9,33.89,21510
ex6_2_12,10.84,7756
ex8_4_4bis,128.65,77932
hs093,636.64,381918
ex6_2_10,804.52,331000
ex14_2_7,80.86,10508
ex6_1_3bis,36.09,11250
ex8_5_1bis,15.89,4564
hs102,3239.19,882758
hs103,1059.69,261300
dualc5,126.21,54068
dualc8,611.95,188766
ex2_1_9bis,162.28,75058
hs108,246.54,37560
mistake,1540.38,446520
ex2_1_9,12.93,5100
odfits,52.66,18784
hs113,21.37,5066
chem,2757.34,905344
chem-1,2055.31,905344
chembis,1025.13,479520
ex6_1_3,116.36,16152
sambal,3728.21,505302
himmel16,31.66,4322
ex2_1_7,18.75,2524
ex2_1_8,17.39,1728
launch,3.59,142
