Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,483.45,1388
ex6_2_6,89.26,60294
ex6_2_8,41.97,31798
ex6_2_9,34.38,21558
ex6_2_12,11.13,7762
ex8_4_4bis,130.68,77932
hs093,665.92,441320
ex6_2_10,807.32,330888
ex14_2_7,72.92,9452
ex6_1_3bis,34.14,11214
ex8_5_1bis,18.51,4576
hs102,3466.94,898776
hs103,1055.8,271140
dualc5,128.68,56352
dualc8,611.05,189546
ex2_1_9bis,166.8,74674
hs108,243.61,43936
mistake,1402.47,411706
ex2_1_9,13.66,5264
odfits,53.98,18012
hs113,21.36,4784
chem,2738.5,906652
chem-1,2052.93,906652
chembis,1027.08,481538
ex6_1_3,121.54,15908
sambal,3770.53,509872
himmel16,28.3,4024
ex2_1_7,18.92,2422
ex2_1_8,16.96,1772
launch,29.83,2676
