Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,482.85,1308
ex6_2_6,81.26,60258
ex6_2_8,41.25,31832
ex6_2_9,31.67,21462
ex6_2_12,9.6,7762
ex8_4_4bis,114.71,77360
hs093,761.14,446166
ex6_2_10,779.11,330664
ex14_2_7,83.1,12034
ex6_1_3bis,20.07,11214
ex8_5_1bis,10.95,3748
hs102,3860.47,944116
hs103,1170.89,253046
dualc5,117.04,54842
dualc8,555.98,190924
ex2_1_9bis,163.57,74892
hs108,173.44,43060
mistake,1477.05,406448
ex2_1_9,13.67,5120
odfits,53.39,18224
hs113,22.92,5330
chem,2958.16,904904
chem-1,3032.89,904904
chembis,1507.89,479008
ex6_1_3,113.71,17226
sambal,3609.78,536908
himmel16,27.74,3816
ex2_1_7,22.63,2556
ex2_1_8,17.79,1600
launch,4.31,108
