Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,517.99,1388
ex6_2_6,85.29,60294
ex6_2_8,40.0,31798
ex6_2_9,30.26,21558
ex6_2_12,9.13,7762
ex8_4_4bis,112.94,77932
hs093,691.68,456772
ex6_2_10,759.36,330888
ex14_2_7,66.56,9452
ex6_1_3bis,18.59,11214
ex8_5_1bis,10.61,3882
hs102,3953.55,903738
hs103,1148.54,274058
dualc5,116.91,53296
dualc8,552.44,187572
ex2_1_9bis,158.12,74724
hs108,151.89,38440
mistake,1710.87,424320
ex2_1_9,14.28,5246
odfits,58.18,18064
hs113,21.99,5280
chem,3062.34,902374
chem-1,3080.75,902374
chembis,1066.64,480316
ex6_1_3,132.45,15956
sambal,3766.49,536118
himmel16,27.75,3884
ex2_1_7,21.74,2504
ex2_1_8,18.25,1706
launch,34.42,2676
