Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,390.04,1352
ex6_2_6,82.33,60012
ex6_2_8,40.1,31750
ex6_2_9,30.35,21528
ex6_2_12,9.63,7778
ex8_4_4bis,109.21,77564
hs093,684.42,445296
ex6_2_10,769.51,330768
ex14_2_7,80.7,12814
ex6_1_3bis,17.82,11186
ex8_5_1bis,10.03,3816
hs102,3596.94,935396
hs103,1030.77,255388
dualc5,111.92,53686
dualc8,539.27,188742
ex2_1_9bis,157.46,76622
hs108,165.88,47110
mistake,1622.75,421186
ex2_1_9,13.22,5014
odfits,55.83,18420
hs113,20.81,5022
chem,2967.34,902372
chem-1,2990.99,902372
chembis,1040.3,481564
ex6_1_3,131.95,17780
sambal,3437.05,516102
himmel16,20.79,2876
ex2_1_7,19.58,2368
ex2_1_8,20.46,1918
launch,7.72,304
